,name,RMSE,MAPE,RMSPE
0,infAll,1.6593373232130053,1.6454746490617,0.2262500922099367
1,infNo100,33.23325111864522,33.23159811509278,3.323325037582419
2,infNo200,34.08691176449538,16.9782162246087,1.7043455755264054
3,De100,14.665773867157135,2.674241520496369,0.4299431931978057
4,De5115Dia,0.7817771277344443,0.6851834569307053,0.1142346985232059
5,De5115Pos,34.50017527076183,19.19303660698029,4.393107912955561
6,DeAllDia,2.974665532295694,1.4650904598146937,0.3054100682910896
7,DeAllPos,14.642886572455437,11.81068374483068,2.43790885176322
8,DeNo200Dia,35.66618455468461,15.638482322014601,1.7833092144475429
9,DeNo200Pos,59.60461862397804,50.52363433841472,8.356195414084906
10,DeNo100Dia,26.618961906065262,22.11454844618836,2.661896131108511
11,DeNo100Pos,175.93025238274075,249.51193549830663,51.836257508064634
